Ident,Photo,Ci,Tleaf,PARi,Press
15_Sicot_1,-2.189528103,20.91789451,18.61114311,2000.895996,94.21483612
15_Sicot_1,0.71862515,44.28903193,18.30716705,2000.437134,94.2089386
15_Sicot_1,3.492486083,74.3402149,18.22595215,2000.486938,94.21975708
15_Sicot_1,9.161239584,137.1751169,18.14041138,2000.515747,94.22132111
15_Sicot_1,13.54652428,210.4256865,18.16947556,1999.634644,94.23738861
15_Sicot_1,16.16313802,297.0109043,18.13677025,2000.339966,94.23583984
15_Sicot_1,16.10063421,546.0198928,18.17024422,1999.7323,94.23389435
15_Sicot_1,15.80426415,795.7313047,18.19809341,1999.240967,94.24668884
15_Sicot_1,16.31206813,1087.3363,18.20809174,1998.825073,94.24424744
15_Sicot_1,17.38339447,1471.682757,18.35943031,1999.250122,94.26174164
15_Sicot_2,-1.590927204,25.69734687,16.52584839,2000.929932,95.25416565
15_Sicot_2,0.29963181,46.44048243,16.46142578,2000.918823,95.24652863
15_Sicot_2,2.50546591,76.94518892,16.41332817,2000.942627,95.24256134
15_Sicot_2,6.878208695,140.8953443,16.33661461,1999.963257,95.23863983
15_Sicot_2,11.14271826,209.4484076,16.46689415,1998.694336,95.23427582
15_Sicot_2,14.83946286,286.4987684,16.77371216,1998.929565,95.23897552
15_Sicot_2,18.25703493,512.8881118,16.7148304,2000.502197,95.24422455
15_Sicot_2,17.26925618,763.3036019,16.53407669,2001.03479,95.24201202
15_Sicot_2,17.322512,1048.919239,16.55854225,1999.178223,95.23159027
15_Sicot_2,18.55742153,1416.894981,16.9557972,1999.297974,95.23907471
15_Sicot_3,-1.958999149,26.12895996,20.73031425,1999.667236,95.33006287
15_Sicot_3,0.310649637,44.6083623,21.62092209,2000.144287,95.32997131
15_Sicot_3,3.046661444,62.84036896,21.54919052,2000.19812,95.33036804
15_Sicot_3,8.070344219,115.0287892,20.74328232,2000.766235,95.32885742
15_Sicot_3,12.72990213,172.729463,20.36981583,2000.5625,95.32837677
15_Sicot_3,16.18580824,224.4190625,21.38915253,2000.317383,95.32804871
15_Sicot_3,20.97720788,419.0814384,21.32847977,2000.521851,95.32826996
15_Sicot_3,19.5885307,664.7466769,21.32540321,1999.934692,95.32965088
15_Sicot_3,17.37107608,948.6568113,21.41459274,1999.427124,95.33226013
15_Sicot_3,14.15820887,1360.608654,20.59161186,1998.984741,95.33086395
15_Sicot_4,-1.3833864,30.8334983,19.26631546,2000.450684,95.29044342
15_Sicot_4,0.333412942,45.44045887,19.21866035,1999.17334,95.2925415
15_Sicot_4,2.863277941,72.65411252,19.22597694,1999.720825,95.28909302
15_Sicot_4,8.464541322,129.2161063,19.24147987,1999.817871,95.2853241
15_Sicot_4,13.65838237,196.0645663,19.22287941,1999.217407,95.28192902
15_Sicot_4,18.02293645,273.343786,19.15709877,1999.835083,95.27679443
15_Sicot_4,20.13372336,509.9503966,19.26830482,1998.848267,95.27639771
15_Sicot_4,20.4214617,743.489641,19.45207787,1999.063477,95.27349091
15_Sicot_4,21.52647996,984.3341472,19.6709137,1999.290283,95.27622986
15_Sicot_4,22.91791734,1265.587702,19.95079803,1999.787231,95.27561188
15_Sicot_5,-0.192385929,48.79386931,18.96846008,1999.194214,94.88881683
15_Sicot_5,0.435569382,67.16081589,18.90465546,1998.93103,94.87322998
15_Sicot_5,1.836116987,74.39405813,18.99001694,1999.083496,94.89554596
15_Sicot_5,5.059040563,132.3960184,19.02619362,1999.682373,94.89865875
15_Sicot_5,8.048960861,196.6489832,19.07316017,1998.868164,94.90213013
15_Sicot_5,10.51118463,272.1595277,19.12150002,2000.377319,94.90097046
15_Sicot_5,13.35017158,494.9682502,19.14991188,2000.016357,94.89823151
